n,number of iterations,a,b,x1,x2,f(x1),f(x2),b-a,k
1,48,0.000000,6.283185,2.399963,3.883222,-7.003410,-2.646092,6.283185,1.000000
2,48,0.000000,3.883222,1.483259,2.399963,-3.939001,-7.003410,3.883222,1.618034
3,48,1.483259,3.883222,2.399963,2.966518,-7.003410,-7.060042,2.399963,1.618034
4,48,2.399963,3.883222,2.966518,3.316668,-7.060042,-6.052653,1.483259,1.618034
5,48,2.399963,3.316668,2.750113,2.966518,-7.268504,-7.060042,0.916704,1.618034
6,48,2.399963,2.966518,2.616368,2.750113,-7.249945,-7.268504,0.566554,1.618034
7,48,2.616368,2.966518,2.750113,2.832772,-7.268504,-7.224705,0.350150,1.618034
8,48,2.616368,2.832772,2.699027,2.750113,-7.274189,-7.268504,0.216405,1.618034
9,48,2.616368,2.750113,2.667454,2.699027,-7.269739,-7.274189,0.133745,1.618034
10,48,2.667454,2.750113,2.699027,2.718540,-7.274189,-7.273913,0.082659,1.618034
11,48,2.667454,2.718540,2.686967,2.699027,-7.273200,-7.274189,0.051086,1.618034
12,48,2.686967,2.718540,2.699027,2.706480,-7.274189,-7.274358,0.031573,1.618034
13,48,2.699027,2.718540,2.706480,2.711087,-7.274358,-7.274293,0.019513,1.618034
14,48,2.699027,2.711087,2.703633,2.706480,-7.274333,-7.274358,0.012060,1.618034
15,48,2.703633,2.711087,2.706480,2.708240,-7.274358,-7.274348,0.007453,1.618034
16,48,2.703633,2.708240,2.705393,2.706480,-7.274354,-7.274358,0.004606,1.618034
17,48,2.705393,2.708240,2.706480,2.707152,-7.274358,-7.274357,0.002847,1.618034
18,48,2.705393,2.707152,2.706065,2.706480,-7.274357,-7.274358,0.001760,1.618034
19,48,2.706065,2.707152,2.706480,2.706737,-7.274358,-7.274358,0.001087,1.618034
20,48,2.706065,2.706737,2.706322,2.706480,-7.274358,-7.274358,0.000672,1.618034
21,48,2.706322,2.706737,2.706480,2.706578,-7.274358,-7.274358,0.000415,1.618034
22,48,2.706322,2.706578,2.706420,2.706480,-7.274358,-7.274358,0.000257,1.618034
23,48,2.706420,2.706578,2.706480,2.706518,-7.274358,-7.274358,0.000159,1.618034
24,48,2.706420,2.706518,2.706457,2.706480,-7.274358,-7.274358,0.000098,1.618034
25,48,2.706457,2.706518,2.706480,2.706495,-7.274358,-7.274358,0.000061,1.618034
26,48,2.706457,2.706495,2.706471,2.706480,-7.274358,-7.274358,0.000037,1.618035
27,48,2.706457,2.706480,2.706466,2.706471,-7.274358,-7.274358,0.000023,1.618031
28,48,2.706466,2.706480,2.706471,2.706475,-7.274358,-7.274358,0.000014,1.618042
29,48,2.706471,2.706480,2.706475,2.706477,-7.274358,-7.274358,0.000009,1.618012
30,48,2.706471,2.706477,2.706474,2.706475,-7.274358,-7.274358,0.000005,1.618092
31,48,2.706474,2.706477,2.706475,2.706476,-7.274358,-7.274358,0.000003,1.617883
32,48,2.706475,2.706477,2.706476,2.706476,-7.274358,-7.274358,0.000002,1.618428
33,48,2.706475,2.706476,2.706475,2.706476,-7.274358,-7.274358,0.000001,1.617002
34,48,2.706475,2.706476,2.706476,2.706476,-7.274358,-7.274358,0.000001,1.620740
35,48,2.706475,2.706476,2.706476,2.706476,-7.274358,-7.274358,0.000000,1.610980
36,48,2.706475,2.706476,2.706475,2.706476,-7.274358,-7.274358,0.000000,1.636715
37,48,2.706475,2.706476,2.706476,2.706476,-7.274358,-7.274358,0.000000,1.570562
38,48,2.706476,2.706476,2.706476,2.706476,-7.274358,-7.274358,0.000000,1.752657
39,48,2.706476,2.706476,2.706476,2.706476,-7.274358,-7.274358,0.000000,1.328626
40,48,2.706476,2.706476,2.706476,2.706476,-7.274358,-7.274358,0.000000,3.042971
41,48,2.706476,2.706476,2.706476,2.706476,-7.274358,-7.274358,0.000000,0.489483
42,48,2.706476,2.706476,2.706476,2.706476,-7.274358,-7.274358,-0.000000,-1.958800
43,48,2.706476,2.706476,2.706476,2.706476,-7.274358,-7.274358,0.000000,-0.337975
44,48,2.706476,2.706476,2.706476,2.706476,-7.274358,-7.274358,-0.000000,-0.747398
45,48,2.706476,2.706476,2.706476,2.706476,-7.274358,-7.274358,0.000000,-0.572279
46,48,2.706476,2.706476,2.706476,2.706477,-7.274358,-7.274358,-0.000000,-0.636019
47,48,2.706476,2.706477,2.706478,2.706476,-7.274358,-7.274358,0.000001,-0.611240
