n,f(x),x,p,||p||,gradient,||gradient||,alpha,eps
1,-3.0000,[0.0000 0.0000 ],[-2.0000 3.0000 ],3.6056,[2.0000 -3.0000 ],3.6056,0.0099,0.0001
2,-3.1281,[-0.0198 0.0297 ],[-3.9637 5.9060 ],7.1128,[2.0000 -2.9604 ],3.5727,0.0099,0.0001
3,-3.3772,[-0.0590 0.0881 ],[-1.9984 2.8835 ],3.5083,[1.9984 -2.8835 ],3.5083,0.0099,0.0001
4,-3.4985,[-0.0788 0.1167 ],[-3.9568 5.6808 ],6.9230,[1.9939 -2.8485 ],3.4770,0.0099,0.0001
5,-3.7346,[-0.1179 0.1729 ],[-1.9838 2.7803 ],3.4155,[1.9838 -2.7803 ],3.4155,0.0099,0.0001
6,-3.8495,[-0.1376 0.2004 ],[-3.9251 5.4802 ],6.7408,[1.9761 -2.7487 ],3.3853,0.0099,0.0001
7,-4.0734,[-0.1764 0.2546 ],[-1.9600 2.6872 ],3.3260,[1.9600 -2.6872 ],3.3260,0.0099,0.0001
8,-4.1824,[-0.1958 0.2812 ],[-3.8758 5.2987 ],6.5649,[1.9500 -2.6584 ],3.2969,0.0099,0.0001
9,-4.3947,[-0.2342 0.3337 ],[-1.9296 2.6021 ],3.2395,[1.9296 -2.6021 ],3.2395,0.0099,0.0001
10,-4.4981,[-0.2533 0.3594 ],[-3.8141 5.1323 ],6.3944,[1.9180 -2.5755 ],3.2112,0.0099,0.0001
11,-4.6995,[-0.2910 0.4102 ],[-1.8947 2.5233 ],3.1554,[1.8947 -2.5233 ],3.1554,0.0099,0.0001
12,-4.7976,[-0.3098 0.4352 ],[-3.7440 4.9779 ],6.2287,[1.8821 -2.4984 ],3.1280,0.0099,0.0001
13,-4.9887,[-0.3468 0.4844 ],[-1.8568 2.4495 ],3.0738,[1.8568 -2.4495 ],3.0738,0.0099,0.0001
14,-5.0818,[-0.3652 0.5087 ],[-3.6682 4.8332 ],6.0676,[1.8435 -2.4261 ],3.0471,0.0099,0.0001
15,-5.2632,[-0.4015 0.5565 ],[-1.8171 2.3800 ],2.9943,[1.8171 -2.3800 ],2.9943,0.0099,0.0001
16,-5.3515,[-0.4195 0.5800 ],[-3.5890 4.6965 ],5.9108,[1.8034 -2.3577 ],2.9683,0.0099,0.0001
17,-5.5237,[-0.4550 0.6265 ],[-1.7762 2.3139 ],2.9170,[1.7762 -2.3139 ],2.9170,0.0099,0.0001
18,-5.6075,[-0.4726 0.6494 ],[-3.5078 4.5664 ],5.7582,[1.7623 -2.2926 ],2.8916,0.0099,0.0001
19,-5.7708,[-0.5073 0.6946 ],[-1.7348 2.2507 ],2.8417,[1.7348 -2.2507 ],2.8417,0.0099,0.0001
20,-5.8504,[-0.5244 0.7169 ],[-3.4257 4.4420 ],5.6095,[1.7209 -2.2302 ],2.8170,0.0099,0.0001
21,-6.0054,[-0.5583 0.7608 ],[-1.6933 2.1900 ],2.7683,[1.6933 -2.1900 ],2.7683,0.0099,0.0001
22,-6.0809,[-0.5751 0.7825 ],[-3.3435 4.3225 ],5.4647,[1.6795 -2.1704 ],2.7443,0.0099,0.0001
23,-6.2281,[-0.6082 0.8253 ],[-1.6520 2.1316 ],2.6968,[1.6520 -2.1316 ],2.6968,0.0099,0.0001
24,-6.2997,[-0.6245 0.8464 ],[-3.2618 4.2074 ],5.3237,[1.6383 -2.1126 ],2.6734,0.0099,0.0001
25,-6.4393,[-0.6568 0.8880 ],[-1.6112 2.0752 ],2.6272,[1.6112 -2.0752 ],2.6272,0.0099,0.0001
26,-6.5074,[-0.6728 0.9085 ],[-3.1810 4.0962 ],5.1863,[1.5977 -2.0568 ],2.6044,0.0099,0.0001
27,-6.6399,[-0.7042 0.9491 ],[-1.5709 2.0206 ],2.5594,[1.5709 -2.0206 ],2.5594,0.0099,0.0001
28,-6.7044,[-0.7198 0.9691 ],[-3.1014 3.9885 ],5.0524,[1.5576 -2.0028 ],2.5372,0.0099,0.0001
29,-6.8302,[-0.7505 1.0085 ],[-1.5314 1.9677 ],2.4934,[1.5314 -1.9677 ],2.4934,0.0099,0.0001
30,-6.8914,[-0.7656 1.0280 ],[-3.0233 3.8841 ],4.9220,[1.5183 -1.9504 ],2.4717,0.0099,0.0001
31,-7.0108,[-0.7955 1.0665 ],[-1.4926 1.9163 ],2.4290,[1.4926 -1.9163 ],2.4290,0.0099,0.0001
32,-7.0689,[-0.8103 1.0854 ],[-2.9466 3.7828 ],4.7950,[1.4798 -1.8996 ],2.4079,0.0099,0.0001
33,-7.1822,[-0.8395 1.1229 ],[-1.4546 1.8665 ],2.3663,[1.4546 -1.8665 ],2.3663,0.0099,0.0001
34,-7.2373,[-0.8539 1.1413 ],[-2.8716 3.6844 ],4.6712,[1.4421 -1.8502 ],2.3458,0.0099,0.0001
35,-7.3448,[-0.8823 1.1778 ],[-1.4174 1.8180 ],2.3053,[1.4174 -1.8180 ],2.3053,0.0099,0.0001
36,-7.3972,[-0.8963 1.1958 ],[-2.7982 3.5887 ],4.5507,[1.4052 -1.8021 ],2.2853,0.0099,0.0001
37,-7.4992,[-0.9240 1.2313 ],[-1.3812 1.7708 ],2.2458,[1.3812 -1.7708 ],2.2458,0.0099,0.0001
38,-7.5489,[-0.9377 1.2488 ],[-2.7265 3.4957 ],4.4333,[1.3692 -1.7554 ],2.2263,0.0099,0.0001
39,-7.6457,[-0.9646 1.2834 ],[-1.3457 1.7250 ],2.1878,[1.3457 -1.7250 ],2.1878,0.0099,0.0001
40,-7.6929,[-0.9780 1.3005 ],[-2.6566 3.4051 ],4.3188,[1.3341 -1.7100 ],2.1688,0.0099,0.0001
41,-7.7848,[-1.0043 1.3342 ],[-1.3112 1.6803 ],2.1314,[1.3112 -1.6803 ],2.1314,0.0099,0.0001
42,-7.8296,[-1.0172 1.3508 ],[-2.5883 3.3170 ],4.2074,[1.2998 -1.6657 ],2.1129,0.0099,0.0001
43,-7.9168,[-1.0428 1.3836 ],[-1.2774 1.6369 ],2.0763,[1.2774 -1.6369 ],2.0763,0.0099,0.0001
44,-7.9592,[-1.0555 1.3998 ],[-2.5218 3.2312 ],4.0988,[1.2664 -1.6226 ],2.0583,0.0099,0.0001
45,-8.0420,[-1.0804 1.4318 ],[-1.2446 1.5946 ],2.0228,[1.2446 -1.5946 ],2.0228,0.0099,0.0001
