n,f(x),x,p,||p||,gradient,||gradient||,alpha,k,eps
1,13.0000,[0.0000 0.0000 ],[10.0000 -30.0000 ],31.6228,[-10.0000 30.0000 ],31.6228,0.0077,127,0.0001
2,6.8288,[0.0774 -0.2322 ],[38.9749 -38.8923 ],55.0605,[-29.3533 10.0274 ],31.0188,0.0077,127,0.0001
3,-4.8649,[0.3791 -0.5333 ],[28.6693 -9.5058 ],30.2041,[-28.6693 9.5058 ],30.2041,0.0077,127,0.0001
4,-10.4860,[0.6011 -0.6069 ],[37.1165 -37.1965 ],52.5473,[-9.5333 28.0508 ],29.6265,0.0077,127,0.0001
5,-21.1370,[0.8884 -0.8949 ],[9.0366 -27.3969 ],28.8487,[-9.0366 27.3969 ],28.8487,0.0077,127,0.0001
6,-26.2571,[0.9584 -1.1069 ],[35.4993 -35.4218 ],50.1488,[-26.8054 9.0640 ],28.2964,0.0077,127,0.0001
7,-35.9582,[1.2332 -1.3812 ],[26.1802 -8.5911 ],27.5538,[-26.1802 8.5911 ],27.5538,0.0077,127,0.0001
8,-40.6220,[1.4358 -1.4477 ],[33.8046 -33.8795 ],47.8599,[-8.6184 25.6146 ],27.0256,0.0077,127,0.0001
9,-49.4580,[1.6975 -1.7099 ],[8.1681 -25.0169 ],26.3167,[-8.1681 25.0169 ],26.3167,0.0077,127,0.0001
10,-53.7061,[1.7608 -1.9036 ],[32.3337 -32.2612 ],45.6755,[-24.4761 8.1952 ],25.8116,0.0077,127,0.0001
11,-61.7543,[2.0111 -2.1533 ],[23.9047 -7.7665 ],25.1347,[-23.9047 7.7665 ],25.1347,0.0077,127,0.0001
12,-65.6237,[2.1961 -2.2135 ],[30.7883 -30.8585 ],43.5909,[-7.7933 23.3876 ],24.6518,0.0077,127,0.0001
13,-72.9542,[2.4345 -2.4523 ],[7.3850 -22.8414 ],24.0056,[-7.3850 22.8414 ],24.0056,0.0077,127,0.0001
14,-76.4788,[2.4916 -2.6292 ],[29.4506 -29.3828 ],41.6015,[-22.3469 7.4115 ],23.5439,0.0077,127,0.0001
15,-83.1557,[2.7196 -2.8566 ],[21.8248 -7.0227 ],22.9268,[-21.8248 7.0227 ],22.9268,0.0077,127,0.0001
16,-86.3661,[2.8886 -2.9110 ],[28.0414 -28.1069 ],39.7029,[-7.0489 21.3520 ],22.4854,0.0077,127,0.0001
17,-92.4476,[3.1056 -3.1286 ],[6.6787 -20.8529 ],21.8963,[-6.6787 20.8529 ],21.8963,0.0077,127,0.0001
18,-95.3719,[3.1573 -3.2900 ],[26.8246 -26.7613 ],37.8909,[-20.4009 6.7044 ],21.4743,0.0077,127,0.0001
19,-100.9112,[3.3650 -3.4972 ],[19.9238 -6.3519 ],20.9118,[-19.9238 6.3519 ],20.9118,0.0077,127,0.0001
20,-103.5749,[3.5192 -3.5463 ],[25.5396 -25.6008 ],36.1617,[-6.3772 19.4916 ],20.5084,0.0077,127,0.0001
21,-108.6202,[3.7169 -3.7445 ],[6.0414 -19.0356 ],19.9713,[-6.0414 19.0356 ],19.9713,0.0077,127,0.0001
22,-111.0465,[3.7637 -3.8919 ],[24.4328 -24.3738 ],34.5115,[-18.6225 6.0663 ],19.5856,0.0077,127,0.0001
23,-115.6420,[3.9529 -4.0806 ],[18.1866 -5.7465 ],19.0729,[-18.1866 5.7465 ],19.0729,0.0077,127,0.0001
24,-117.8521,[4.0936 -4.1251 ],[23.2612 -23.3182 ],32.9366,[-5.7709 17.7917 ],18.7042,0.0077,127,0.0001
25,-122.0378,[4.2737 -4.3056 ],[5.4663 -17.3751 ],18.2147,[-5.4663 17.3751 ],18.2147,0.0077,127,0.0001
26,-124.0509,[4.3160 -4.4401 ],[22.2544 -22.1994 ],31.4336,[-16.9976 5.4902 ],17.8622,0.0077,127,0.0001
27,-127.8635,[4.4883 -4.6119 ],[16.5994 -5.2001 ],17.3948,[-16.5994 5.2001 ],17.3948,0.0077,127,0.0001
28,-129.6971,[4.6168 -4.6522 ],[21.1861 -21.2392 ],29.9992,[-5.2235 16.2385 ],17.0579,0.0077,127,0.0001
29,-133.1698,[4.7808 -4.8166 ],[4.9472 -15.8579 ],16.6117,[-4.9472 15.8579 ],16.6117,0.0077,127,0.0001
30,-134.8400,[4.8191 -4.9394 ],[20.2702 -20.2191 ],28.6303,[-15.5130 4.9700 ],16.2897,0.0077,127,0.0001
31,-138.0031,[4.9760 -5.0959 ],[15.1493 -4.7069 ],15.8636,[-15.1493 4.7069 ],15.8636,0.0077,127,0.0001
32,-139.5245,[5.0933 -5.1323 ],[19.2963 -19.3456 ],27.3239,[-4.7292 14.8196 ],15.5558,0.0077,127,0.0001
33,-142.4055,[5.2427 -5.2821 ],[4.4785 -14.4720 ],15.1491,[-4.4785 14.4720 ],15.1491,0.0077,127,0.0001
34,-143.7913,[5.2774 -5.3941 ],[18.4631 -18.4156 ],26.0771,[-14.1568 4.5002 ],14.8549,0.0077,127,0.0001
35,-146.4155,[5.4203 -5.5367 ],[13.8246 -4.2614 ],14.4665,[-13.8246 4.2614 ],14.4665,0.0077,127,0.0001
36,-147.6778,[5.5273 -5.5697 ],[17.5751 -17.6208 ],24.8873,[-4.2826 13.5234 ],14.1854,0.0077,127,0.0001
37,-150.0680,[5.6634 -5.7061 ],[4.0551 -13.2060 ],13.8146,[-4.0551 13.2060 ],13.8146,0.0077,127,0.0001
38,-151.2178,[5.6948 -5.8083 ],[16.8170 -16.7729 ],23.7517,[-12.9181 4.0757 ],13.5458,0.0077,127,0.0001
39,-153.3950,[5.8249 -5.9382 ],[12.6148 -3.8590 ],13.1918,[-12.6148 3.8590 ],13.1918,0.0077,127,0.0001
