n,f(x),x,p,||p||,gradient,||gradient||,alpha,eps
1,-3.0000,[0.0000 0.0000 ],[-0.0200 0.0300 ],0.0361,[2.0000 -3.0000 ],3.6056,0.0100,0.0001
2,-3.1294,[-0.0200 0.0300 ],[-0.0200 0.0296 ],0.0357,[2.0000 -2.9600 ],3.5723,0.0100,0.0001
3,-3.2564,[-0.0400 0.0596 ],[-0.0200 0.0292 ],0.0354,[1.9984 -2.9216 ],3.5397,0.0100,0.0001
4,-3.3812,[-0.0600 0.0888 ],[-0.0200 0.0288 ],0.0351,[1.9954 -2.8847 ],3.5075,0.0100,0.0001
5,-3.5036,[-0.0799 0.1177 ],[-0.0199 0.0285 ],0.0348,[1.9910 -2.8491 ],3.4759,0.0100,0.0001
6,-3.6239,[-0.0998 0.1462 ],[-0.0199 0.0281 ],0.0344,[1.9855 -2.8148 ],3.4446,0.0100,0.0001
7,-3.7420,[-0.1197 0.1743 ],[-0.0198 0.0278 ],0.0341,[1.9790 -2.7816 ],3.4138,0.0100,0.0001
8,-3.8580,[-0.1395 0.2021 ],[-0.0197 0.0275 ],0.0338,[1.9715 -2.7495 ],3.3833,0.0100,0.0001
9,-3.9720,[-0.1592 0.2296 ],[-0.0196 0.0272 ],0.0335,[1.9632 -2.7184 ],3.3532,0.0100,0.0001
10,-4.0839,[-0.1788 0.2568 ],[-0.0195 0.0269 ],0.0332,[1.9541 -2.6882 ],3.3234,0.0100,0.0001
11,-4.1939,[-0.1984 0.2837 ],[-0.0194 0.0266 ],0.0329,[1.9444 -2.6588 ],3.2939,0.0100,0.0001
12,-4.3019,[-0.2178 0.3103 ],[-0.0193 0.0263 ],0.0326,[1.9341 -2.6302 ],3.2648,0.0100,0.0001
13,-4.4080,[-0.2372 0.3366 ],[-0.0192 0.0260 ],0.0324,[1.9233 -2.6024 ],3.2360,0.0100,0.0001
14,-4.5123,[-0.2564 0.3626 ],[-0.0191 0.0258 ],0.0321,[1.9120 -2.5752 ],3.2074,0.0100,0.0001
15,-4.6147,[-0.2755 0.3883 ],[-0.0190 0.0255 ],0.0318,[1.9003 -2.5487 ],3.1791,0.0100,0.0001
16,-4.7153,[-0.2945 0.4138 ],[-0.0189 0.0252 ],0.0315,[1.8882 -2.5228 ],3.1511,0.0100,0.0001
17,-4.8142,[-0.3134 0.4391 ],[-0.0188 0.0250 ],0.0312,[1.8758 -2.4974 ],3.1234,0.0100,0.0001
18,-4.9113,[-0.3322 0.4640 ],[-0.0186 0.0247 ],0.0310,[1.8632 -2.4725 ],3.0959,0.0100,0.0001
19,-5.0067,[-0.3508 0.4888 ],[-0.0185 0.0245 ],0.0307,[1.8503 -2.4481 ],3.0687,0.0100,0.0001
20,-5.1005,[-0.3693 0.5132 ],[-0.0184 0.0242 ],0.0304,[1.8372 -2.4242 ],3.0417,0.0100,0.0001
21,-5.1926,[-0.3877 0.5375 ],[-0.0182 0.0240 ],0.0302,[1.8239 -2.4007 ],3.0150,0.0100,0.0001
22,-5.2831,[-0.4059 0.5615 ],[-0.0181 0.0238 ],0.0299,[1.8105 -2.3777 ],2.9885,0.0100,0.0001
23,-5.3720,[-0.4240 0.5853 ],[-0.0180 0.0235 ],0.0296,[1.7970 -2.3550 ],2.9623,0.0100,0.0001
24,-5.4594,[-0.4420 0.6088 ],[-0.0178 0.0233 ],0.0294,[1.7834 -2.3327 ],2.9363,0.0100,0.0001
25,-5.5452,[-0.4598 0.6321 ],[-0.0177 0.0231 ],0.0291,[1.7697 -2.3107 ],2.9105,0.0100,0.0001
26,-5.6296,[-0.4775 0.6552 ],[-0.0176 0.0229 ],0.0288,[1.7559 -2.2891 ],2.8850,0.0100,0.0001
27,-5.7124,[-0.4951 0.6781 ],[-0.0174 0.0227 ],0.0286,[1.7421 -2.2677 ],2.8597,0.0100,0.0001
28,-5.7939,[-0.5125 0.7008 ],[-0.0173 0.0225 ],0.0283,[1.7283 -2.2467 ],2.8346,0.0100,0.0001
29,-5.8739,[-0.5298 0.7233 ],[-0.0171 0.0223 ],0.0281,[1.7145 -2.2260 ],2.8097,0.0100,0.0001
30,-5.9525,[-0.5469 0.7455 ],[-0.0170 0.0221 ],0.0279,[1.7006 -2.2055 ],2.7850,0.0100,0.0001
31,-6.0297,[-0.5639 0.7676 ],[-0.0169 0.0219 ],0.0276,[1.6868 -2.1853 ],2.7606,0.0100,0.0001
32,-6.1056,[-0.5808 0.7895 ],[-0.0167 0.0217 ],0.0274,[1.6730 -2.1654 ],2.7364,0.0100,0.0001
33,-6.1801,[-0.5975 0.8111 ],[-0.0166 0.0215 ],0.0271,[1.6593 -2.1457 ],2.7124,0.0100,0.0001
34,-6.2533,[-0.6141 0.8326 ],[-0.0165 0.0213 ],0.0269,[1.6455 -2.1262 ],2.6886,0.0100,0.0001
35,-6.3253,[-0.6306 0.8538 ],[-0.0163 0.0211 ],0.0267,[1.6319 -2.1070 ],2.6650,0.0100,0.0001
36,-6.3960,[-0.6469 0.8749 ],[-0.0162 0.0209 ],0.0264,[1.6182 -2.0880 ],2.6417,0.0100,0.0001
37,-6.4655,[-0.6631 0.8958 ],[-0.0160 0.0207 ],0.0262,[1.6046 -2.0692 ],2.6185,0.0100,0.0001
38,-6.5338,[-0.6791 0.9165 ],[-0.0159 0.0205 ],0.0260,[1.5911 -2.0506 ],2.5955,0.0100,0.0001
39,-6.6008,[-0.6950 0.9370 ],[-0.0158 0.0203 ],0.0257,[1.5777 -2.0322 ],2.5728,0.0100,0.0001
40,-6.6667,[-0.7108 0.9573 ],[-0.0156 0.0201 ],0.0255,[1.5643 -2.0141 ],2.5502,0.0100,0.0001
41,-6.7315,[-0.7265 0.9774 ],[-0.0155 0.0200 ],0.0253,[1.5510 -1.9961 ],2.5278,0.0100,0.0001
42,-6.7951,[-0.7420 0.9974 ],[-0.0154 0.0198 ],0.0251,[1.5378 -1.9783 ],2.5057,0.0100,0.0001
43,-6.8576,[-0.7573 1.0172 ],[-0.0152 0.0196 ],0.0248,[1.5247 -1.9606 ],2.4837,0.0100,0.0001
44,-6.9190,[-0.7726 1.0368 ],[-0.0151 0.0194 ],0.0246,[1.5116 -1.9432 ],2.4619,0.0100,0.0001
45,-6.9794,[-0.7877 1.0562 ],[-0.0150 0.0193 ],0.0244,[1.4986 -1.9259 ],2.4403,0.0100,0.0001
46,-7.0387,[-0.8027 1.0755 ],[-0.0149 0.0191 ],0.0242,[1.4858 -1.9089 ],2.4189,0.0100,0.0001
47,-7.0969,[-0.8175 1.0946 ],[-0.0147 0.0189 ],0.0240,[1.4730 -1.8919 ],2.3977,0.0100,0.0001
48,-7.1542,[-0.8323 1.1135 ],[-0.0146 0.0188 ],0.0238,[1.4603 -1.8752 ],2.3767,0.0100,0.0001
49,-7.2104,[-0.8469 1.1322 ],[-0.0145 0.0186 ],0.0236,[1.4477 -1.8586 ],2.3559,0.0100,0.0001
50,-7.2657,[-0.8614 1.1508 ],[-0.0144 0.0184 ],0.0234,[1.4351 -1.8421 ],2.3352,0.0100,0.0001
51,-7.3200,[-0.8757 1.1692 ],[-0.0142 0.0183 ],0.0231,[1.4227 -1.8259 ],2.3147,0.0100,0.0001
52,-7.3733,[-0.8899 1.1875 ],[-0.0141 0.0181 ],0.0229,[1.4104 -1.8097 ],2.2944,0.0100,0.0001
53,-7.4257,[-0.9040 1.2056 ],[-0.0140 0.0179 ],0.0227,[1.3982 -1.7938 ],2.2743,0.0100,0.0001
54,-7.4772,[-0.9180 1.2235 ],[-0.0139 0.0178 ],0.0225,[1.3860 -1.7779 ],2.2544,0.0100,0.0001
55,-7.5278,[-0.9319 1.2413 ],[-0.0137 0.0176 ],0.0223,[1.3740 -1.7623 ],2.2346,0.0100,0.0001
56,-7.5775,[-0.9456 1.2589 ],[-0.0136 0.0175 ],0.0221,[1.3620 -1.7467 ],2.2150,0.0100,0.0001
57,-7.6264,[-0.9592 1.2764 ],[-0.0135 0.0173 ],0.0220,[1.3502 -1.7313 ],2.1956,0.0100,0.0001
58,-7.6744,[-0.9727 1.2937 ],[-0.0134 0.0172 ],0.0218,[1.3384 -1.7161 ],2.1763,0.0100,0.0001
59,-7.7215,[-0.9861 1.3109 ],[-0.0133 0.0170 ],0.0216,[1.3268 -1.7010 ],2.1572,0.0100,0.0001
60,-7.7679,[-0.9994 1.3279 ],[-0.0132 0.0169 ],0.0214,[1.3152 -1.6860 ],2.1383,0.0100,0.0001
61,-7.8134,[-1.0125 1.3448 ],[-0.0130 0.0167 ],0.0212,[1.3037 -1.6712 ],2.1196,0.0100,0.0001
62,-7.8581,[-1.0256 1.3615 ],[-0.0129 0.0166 ],0.0210,[1.2923 -1.6565 ],2.1010,0.0100,0.0001
63,-7.9021,[-1.0385 1.3780 ],[-0.0128 0.0164 ],0.0208,[1.2811 -1.6419 ],2.0826,0.0100,0.0001
64,-7.9452,[-1.0513 1.3944 ],[-0.0127 0.0163 ],0.0206,[1.2699 -1.6275 ],2.0643,0.0100,0.0001
65,-7.9877,[-1.0640 1.4107 ],[-0.0126 0.0161 ],0.0205,[1.2588 -1.6132 ],2.0462,0.0100,0.0001
66,-8.0293,[-1.0766 1.4269 ],[-0.0125 0.0160 ],0.0203,[1.2478 -1.5990 ],2.0282,0.0100,0.0001
67,-8.0703,[-1.0891 1.4428 ],[-0.0124 0.0158 ],0.0201,[1.2369 -1.5850 ],2.0105,0.0100,0.0001
68,-8.1105,[-1.1015 1.4587 ],[-0.0123 0.0157 ],0.0199,[1.2261 -1.5710 ],1.9928,0.0100,0.0001
69,-8.1501,[-1.1137 1.4744 ],[-0.0122 0.0156 ],0.0198,[1.2153 -1.5572 ],1.9754,0.0100,0.0001
70,-8.1889,[-1.1259 1.4900 ],[-0.0120 0.0154 ],0.0196,[1.2047 -1.5436 ],1.9580,0.0100,0.0001
71,-8.2271,[-1.1379 1.5054 ],[-0.0119 0.0153 ],0.0194,[1.1942 -1.5300 ],1.9409,0.0100,0.0001
72,-8.2646,[-1.1499 1.5207 ],[-0.0118 0.0152 ],0.0192,[1.1837 -1.5166 ],1.9238,0.0100,0.0001
73,-8.3015,[-1.1617 1.5359 ],[-0.0117 0.0150 ],0.0191,[1.1734 -1.5033 ],1.9070,0.0100,0.0001
74,-8.3377,[-1.1734 1.5509 ],[-0.0116 0.0149 ],0.0189,[1.1631 -1.4901 ],1.8903,0.0100,0.0001
75,-8.3732,[-1.1851 1.5658 ],[-0.0115 0.0148 ],0.0187,[1.1529 -1.4770 ],1.8737,0.0100,0.0001
76,-8.4082,[-1.1966 1.5806 ],[-0.0114 0.0146 ],0.0186,[1.1428 -1.4640 ],1.8572,0.0100,0.0001
77,-8.4425,[-1.2080 1.5952 ],[-0.0113 0.0145 ],0.0184,[1.1328 -1.4512 ],1.8410,0.0100,0.0001
78,-8.4763,[-1.2193 1.6097 ],[-0.0112 0.0144 ],0.0182,[1.1229 -1.4384 ],1.8248,0.0100,0.0001
79,-8.5094,[-1.2306 1.6241 ],[-0.0111 0.0143 ],0.0181,[1.1130 -1.4258 ],1.8088,0.0100,0.0001
