n,f(x),x,p,||p||,gradient,||gradient||,alpha,k,eps
1,13.0000,[0.0000 0.0000 ],[0.0787 -0.2362 ],0.2490,[-10.0000 30.0000 ],31.6228,0.0079,127,0.0001
2,6.7504,[0.0787 -0.2362 ],[0.2337 -0.0763 ],0.2459,[-29.6850 9.6850 ],31.2250,0.0079,127,0.0001
3,0.6961,[0.3125 -0.3125 ],[0.0738 -0.2313 ],0.2428,[-9.3750 29.3750 ],30.8348,0.0079,127,0.0001
4,-5.1691,[0.3863 -0.5438 ],[0.2289 -0.0714 ],0.2398,[-29.0699 9.0699 ],30.4520,0.0079,127,0.0001
5,-10.8509,[0.6152 -0.6152 ],[0.0691 -0.2265 ],0.2368,[-8.7696 28.7696 ],30.0765,0.0079,127,0.0001
6,-16.3553,[0.6842 -0.8417 ],[0.2242 -0.0667 ],0.2339,[-28.4740 8.4740 ],29.7082,0.0079,127,0.0001
7,-21.6876,[0.9085 -0.9085 ],[0.0644 -0.2219 ],0.2311,[-8.1831 28.1831 ],29.3471,0.0079,127,0.0001
8,-26.8533,[0.9729 -1.1304 ],[0.2197 -0.0622 ],0.2283,[-27.8967 7.8967 ],28.9929,0.0079,127,0.0001
9,-31.8575,[1.1925 -1.1925 ],[0.0600 -0.2174 ],0.2256,[-7.6149 27.6149 ],28.6456,0.0079,127,0.0001
10,-36.7054,[1.2525 -1.4100 ],[0.2153 -0.0578 ],0.2229,[-27.3375 7.3375 ],28.3051,0.0079,127,0.0001
11,-41.4019,[1.4678 -1.4678 ],[0.0556 -0.2131 ],0.2202,[-7.0645 27.0645 ],27.9713,0.0079,127,0.0001
12,-45.9515,[1.5234 -1.6809 ],[0.2110 -0.0535 ],0.2177,[-26.7957 6.7957 ],27.6441,0.0079,127,0.0001
13,-50.3590,[1.7344 -1.7344 ],[0.0514 -0.2089 ],0.2151,[-6.5312 26.5312 ],27.3233,0.0079,127,0.0001
14,-54.6288,[1.7858 -1.9433 ],[0.2069 -0.0494 ],0.2127,[-26.2709 6.2709 ],27.0090,0.0079,127,0.0001
15,-58.7651,[1.9927 -1.9927 ],[0.0474 -0.2048 ],0.2102,[-6.0147 26.0147 ],26.7009,0.0079,127,0.0001
16,-62.7722,[2.0400 -2.1975 ],[0.2029 -0.0454 ],0.2079,[-25.7625 5.7625 ],26.3991,0.0079,127,0.0001
17,-66.6541,[2.2429 -2.2429 ],[0.0434 -0.2009 ],0.2055,[-5.5142 25.5142 ],26.1033,0.0079,127,0.0001
18,-70.4147,[2.2863 -2.4438 ],[0.1990 -0.0415 ],0.2033,[-25.2699 5.2699 ],25.8136,0.0079,127,0.0001
19,-74.0577,[2.4853 -2.4853 ],[0.0396 -0.1971 ],0.2010,[-5.0295 25.0295 ],25.5298,0.0079,127,0.0001
20,-77.5870,[2.5249 -2.6824 ],[0.1952 -0.0377 ],0.1988,[-24.7928 4.7928 ],25.2518,0.0079,127,0.0001
21,-81.0059,[2.7201 -2.7201 ],[0.0359 -0.1934 ],0.1967,[-4.5598 24.5598 ],24.9795,0.0079,127,0.0001
22,-84.3180,[2.7560 -2.9135 ],[0.1916 -0.0341 ],0.1946,[-24.3305 4.3305 ],24.7129,0.0079,127,0.0001
23,-87.5266,[2.9476 -2.9476 ],[0.0323 -0.1898 ],0.1925,[-4.1048 24.1048 ],24.4519,0.0079,127,0.0001
24,-90.6350,[2.9799 -3.1374 ],[0.1881 -0.0306 ],0.1905,[-23.8827 3.8827 ],24.1963,0.0079,127,0.0001
25,-93.6462,[3.1680 -3.1680 ],[0.0289 -0.1863 ],0.1886,[-3.6641 23.6641 ],23.9461,0.0079,127,0.0001
26,-96.5633,[3.1968 -3.3543 ],[0.1846 -0.0272 ],0.1866,[-23.4489 3.4489 ],23.7012,0.0079,127,0.0001
27,-99.3893,[3.3814 -3.3814 ],[0.0255 -0.1830 ],0.1847,[-3.2371 23.2371 ],23.4615,0.0079,127,0.0001
28,-102.1270,[3.4069 -3.5644 ],[0.1813 -0.0238 ],0.1829,[-23.0287 3.0287 ],23.2270,0.0079,127,0.0001
29,-104.7791,[3.5883 -3.5883 ],[0.0222 -0.1797 ],0.1811,[-2.8235 22.8235 ],22.9975,0.0079,127,0.0001
