n,f(x),x,p,||p||,gradient,||gradient||,alpha,eps
1,-3.0000,[0.0000 0.0000 ],[-0.0198 0.0297 ],0.0357,[2.0000 -3.0000 ],3.6056,0.0099,0.0001
2,-3.1281,[-0.0198 0.0297 ],[-0.0198 0.0293 ],0.0354,[2.0000 -2.9604 ],3.5727,0.0099,0.0001
3,-3.2538,[-0.0396 0.0590 ],[-0.0198 0.0289 ],0.0350,[1.9984 -2.9224 ],3.5404,0.0099,0.0001
4,-3.3773,[-0.0594 0.0879 ],[-0.0197 0.0286 ],0.0347,[1.9955 -2.8858 ],3.5085,0.0099,0.0001
5,-3.4985,[-0.0791 0.1165 ],[-0.0197 0.0282 ],0.0344,[1.9912 -2.8506 ],3.4772,0.0099,0.0001
6,-3.6177,[-0.0988 0.1447 ],[-0.0197 0.0279 ],0.0341,[1.9858 -2.8166 ],3.4462,0.0099,0.0001
7,-3.7347,[-0.1185 0.1725 ],[-0.0196 0.0275 ],0.0338,[1.9794 -2.7837 ],3.4157,0.0099,0.0001
8,-3.8496,[-0.1380 0.2001 ],[-0.0195 0.0272 ],0.0335,[1.9721 -2.7518 ],3.3855,0.0099,0.0001
9,-3.9625,[-0.1576 0.2273 ],[-0.0194 0.0269 ],0.0332,[1.9639 -2.7210 ],3.3557,0.0099,0.0001
10,-4.0735,[-0.1770 0.2542 ],[-0.0193 0.0266 ],0.0329,[1.9550 -2.6910 ],3.3262,0.0099,0.0001
11,-4.1825,[-0.1963 0.2809 ],[-0.0193 0.0263 ],0.0326,[1.9454 -2.6619 ],3.2970,0.0099,0.0001
12,-4.2896,[-0.2156 0.3072 ],[-0.0192 0.0261 ],0.0323,[1.9353 -2.6335 ],3.2681,0.0099,0.0001
13,-4.3948,[-0.2347 0.3333 ],[-0.0190 0.0258 ],0.0321,[1.9246 -2.6059 ],3.2396,0.0099,0.0001
14,-4.4982,[-0.2538 0.3591 ],[-0.0189 0.0255 ],0.0318,[1.9135 -2.5789 ],3.2113,0.0099,0.0001
15,-4.5998,[-0.2727 0.3846 ],[-0.0188 0.0253 ],0.0315,[1.9020 -2.5526 ],3.1833,0.0099,0.0001
16,-4.6997,[-0.2916 0.4098 ],[-0.0187 0.0250 ],0.0312,[1.8901 -2.5268 ],3.1555,0.0099,0.0001
17,-4.7978,[-0.3103 0.4349 ],[-0.0186 0.0248 ],0.0310,[1.8779 -2.5016 ],3.1280,0.0099,0.0001
18,-4.8942,[-0.3288 0.4596 ],[-0.0185 0.0245 ],0.0307,[1.8654 -2.4769 ],3.1008,0.0099,0.0001
19,-4.9889,[-0.3473 0.4841 ],[-0.0183 0.0243 ],0.0304,[1.8527 -2.4527 ],3.0738,0.0099,0.0001
20,-5.0820,[-0.3656 0.5084 ],[-0.0182 0.0240 ],0.0302,[1.8398 -2.4290 ],3.0471,0.0099,0.0001
21,-5.1735,[-0.3838 0.5324 ],[-0.0181 0.0238 ],0.0299,[1.8267 -2.4056 ],3.0206,0.0099,0.0001
22,-5.2634,[-0.4019 0.5562 ],[-0.0179 0.0236 ],0.0296,[1.8134 -2.3827 ],2.9943,0.0099,0.0001
23,-5.3517,[-0.4199 0.5798 ],[-0.0178 0.0234 ],0.0294,[1.8001 -2.3602 ],2.9683,0.0099,0.0001
24,-5.4385,[-0.4377 0.6032 ],[-0.0177 0.0231 ],0.0291,[1.7866 -2.3380 ],2.9425,0.0099,0.0001
25,-5.5238,[-0.4554 0.6263 ],[-0.0175 0.0229 ],0.0289,[1.7731 -2.3162 ],2.9170,0.0099,0.0001
26,-5.6077,[-0.4729 0.6492 ],[-0.0174 0.0227 ],0.0286,[1.7595 -2.2947 ],2.8916,0.0099,0.0001
27,-5.6900,[-0.4903 0.6719 ],[-0.0173 0.0225 ],0.0284,[1.7459 -2.2735 ],2.8665,0.0099,0.0001
28,-5.7710,[-0.5076 0.6944 ],[-0.0171 0.0223 ],0.0281,[1.7322 -2.2526 ],2.8416,0.0099,0.0001
29,-5.8506,[-0.5247 0.7167 ],[-0.0170 0.0221 ],0.0279,[1.7185 -2.2320 ],2.8170,0.0099,0.0001
30,-5.9287,[-0.5417 0.7388 ],[-0.0169 0.0219 ],0.0276,[1.7048 -2.2117 ],2.7925,0.0099,0.0001
31,-6.0056,[-0.5586 0.7607 ],[-0.0167 0.0217 ],0.0274,[1.6911 -2.1916 ],2.7683,0.0099,0.0001
32,-6.0811,[-0.5753 0.7824 ],[-0.0166 0.0215 ],0.0272,[1.6775 -2.1718 ],2.7442,0.0099,0.0001
33,-6.1553,[-0.5919 0.8039 ],[-0.0165 0.0213 ],0.0269,[1.6639 -2.1523 ],2.7204,0.0099,0.0001
34,-6.2282,[-0.6084 0.8252 ],[-0.0163 0.0211 ],0.0267,[1.6503 -2.1329 ],2.6968,0.0099,0.0001
35,-6.2999,[-0.6247 0.8463 ],[-0.0162 0.0209 ],0.0265,[1.6367 -2.1138 ],2.6734,0.0099,0.0001
36,-6.3703,[-0.6409 0.8672 ],[-0.0161 0.0207 ],0.0262,[1.6232 -2.0949 ],2.6502,0.0099,0.0001
37,-6.4395,[-0.6570 0.8879 ],[-0.0159 0.0205 ],0.0260,[1.6097 -2.0763 ],2.6272,0.0099,0.0001
38,-6.5075,[-0.6729 0.9085 ],[-0.0158 0.0204 ],0.0258,[1.5964 -2.0578 ],2.6044,0.0099,0.0001
39,-6.5743,[-0.6887 0.9288 ],[-0.0157 0.0202 ],0.0255,[1.5830 -2.0395 ],2.5818,0.0099,0.0001
40,-6.6400,[-0.7044 0.9490 ],[-0.0155 0.0200 ],0.0253,[1.5698 -2.0215 ],2.5594,0.0099,0.0001
41,-6.7045,[-0.7199 0.9690 ],[-0.0154 0.0198 ],0.0251,[1.5566 -2.0036 ],2.5372,0.0099,0.0001
42,-6.7680,[-0.7353 0.9889 ],[-0.0153 0.0197 ],0.0249,[1.5435 -1.9859 ],2.5152,0.0099,0.0001
43,-6.8303,[-0.7506 1.0085 ],[-0.0151 0.0195 ],0.0247,[1.5304 -1.9684 ],2.4933,0.0099,0.0001
44,-6.8915,[-0.7657 1.0280 ],[-0.0150 0.0193 ],0.0245,[1.5175 -1.9510 ],2.4717,0.0099,0.0001
45,-6.9517,[-0.7808 1.0473 ],[-0.0149 0.0191 ],0.0242,[1.5046 -1.9339 ],2.4502,0.0099,0.0001
46,-7.0109,[-0.7957 1.0664 ],[-0.0148 0.0190 ],0.0240,[1.4918 -1.9169 ],2.4290,0.0099,0.0001
47,-7.0690,[-0.8104 1.0854 ],[-0.0146 0.0188 ],0.0238,[1.4791 -1.9001 ],2.4079,0.0099,0.0001
48,-7.1262,[-0.8251 1.1042 ],[-0.0145 0.0186 ],0.0236,[1.4665 -1.8834 ],2.3870,0.0099,0.0001
49,-7.1823,[-0.8396 1.1228 ],[-0.0144 0.0185 ],0.0234,[1.4540 -1.8669 ],2.3663,0.0099,0.0001
50,-7.2375,[-0.8540 1.1413 ],[-0.0143 0.0183 ],0.0232,[1.4415 -1.8505 ],2.3458,0.0099,0.0001
51,-7.2917,[-0.8682 1.1596 ],[-0.0141 0.0182 ],0.0230,[1.4292 -1.8344 ],2.3254,0.0099,0.0001
52,-7.3450,[-0.8824 1.1778 ],[-0.0140 0.0180 ],0.0228,[1.4170 -1.8183 ],2.3052,0.0099,0.0001
53,-7.3973,[-0.8964 1.1958 ],[-0.0139 0.0178 ],0.0226,[1.4048 -1.8024 ],2.2852,0.0099,0.0001
54,-7.4488,[-0.9103 1.2136 ],[-0.0138 0.0177 ],0.0224,[1.3927 -1.7867 ],2.2654,0.0099,0.0001
55,-7.4993,[-0.9241 1.2313 ],[-0.0137 0.0175 ],0.0222,[1.3808 -1.7711 ],2.2457,0.0099,0.0001
56,-7.5490,[-0.9377 1.2488 ],[-0.0135 0.0174 ],0.0220,[1.3689 -1.7556 ],2.2262,0.0099,0.0001
57,-7.5979,[-0.9513 1.2662 ],[-0.0134 0.0172 ],0.0218,[1.3571 -1.7403 ],2.2069,0.0099,0.0001
58,-7.6458,[-0.9647 1.2834 ],[-0.0133 0.0171 ],0.0216,[1.3454 -1.7252 ],2.1878,0.0099,0.0001
59,-7.6930,[-0.9780 1.3005 ],[-0.0132 0.0169 ],0.0215,[1.3338 -1.7101 ],2.1688,0.0099,0.0001
60,-7.7394,[-0.9912 1.3174 ],[-0.0131 0.0168 ],0.0213,[1.3223 -1.6952 ],2.1500,0.0099,0.0001
61,-7.7849,[-1.0043 1.3342 ],[-0.0130 0.0166 ],0.0211,[1.3109 -1.6805 ],2.1313,0.0099,0.0001
62,-7.8297,[-1.0173 1.3508 ],[-0.0129 0.0165 ],0.0209,[1.2996 -1.6659 ],2.1128,0.0099,0.0001
63,-7.8736,[-1.0301 1.3673 ],[-0.0127 0.0163 ],0.0207,[1.2884 -1.6514 ],2.0945,0.0099,0.0001
64,-7.9169,[-1.0429 1.3836 ],[-0.0126 0.0162 ],0.0205,[1.2772 -1.6370 ],2.0763,0.0099,0.0001
65,-7.9593,[-1.0555 1.3998 ],[-0.0125 0.0161 ],0.0204,[1.2662 -1.6227 ],2.0583,0.0099,0.0001
66,-8.0011,[-1.0681 1.4159 ],[-0.0124 0.0159 ],0.0202,[1.2553 -1.6086 ],2.0404,0.0099,0.0001
67,-8.0421,[-1.0805 1.4318 ],[-0.0123 0.0158 ],0.0200,[1.2444 -1.5946 ],2.0227,0.0099,0.0001
68,-8.0824,[-1.0928 1.4476 ],[-0.0122 0.0156 ],0.0198,[1.2336 -1.5808 ],2.0052,0.0099,0.0001
69,-8.1220,[-1.1050 1.4632 ],[-0.0121 0.0155 ],0.0197,[1.2230 -1.5670 ],1.9878,0.0099,0.0001
70,-8.1610,[-1.1171 1.4787 ],[-0.0120 0.0154 ],0.0195,[1.2124 -1.5534 ],1.9705,0.0099,0.0001
71,-8.1992,[-1.1291 1.4941 ],[-0.0119 0.0152 ],0.0193,[1.2019 -1.5399 ],1.9534,0.0099,0.0001
72,-8.2368,[-1.1410 1.5094 ],[-0.0118 0.0151 ],0.0192,[1.1915 -1.5265 ],1.9365,0.0099,0.0001
73,-8.2738,[-1.1528 1.5245 ],[-0.0117 0.0150 ],0.0190,[1.1812 -1.5133 ],1.9197,0.0099,0.0001
74,-8.3101,[-1.1645 1.5394 ],[-0.0116 0.0148 ],0.0188,[1.1709 -1.5001 ],1.9030,0.0099,0.0001
75,-8.3458,[-1.1761 1.5543 ],[-0.0115 0.0147 ],0.0187,[1.1608 -1.4871 ],1.8865,0.0099,0.0001
76,-8.3808,[-1.1875 1.5690 ],[-0.0114 0.0146 ],0.0185,[1.1507 -1.4742 ],1.8701,0.0099,0.0001
77,-8.4153,[-1.1989 1.5836 ],[-0.0113 0.0145 ],0.0183,[1.1408 -1.4614 ],1.8539,0.0099,0.0001
78,-8.4491,[-1.2102 1.5981 ],[-0.0112 0.0143 ],0.0182,[1.1309 -1.4487 ],1.8378,0.0099,0.0001
79,-8.4824,[-1.2214 1.6124 ],[-0.0111 0.0142 ],0.0180,[1.1211 -1.4361 ],1.8219,0.0099,0.0001
80,-8.5151,[-1.2325 1.6266 ],[-0.0110 0.0141 ],0.0179,[1.1113 -1.4236 ],1.8061,0.0099,0.0001
81,-8.5473,[-1.2435 1.6407 ],[-0.0109 0.0140 ],0.0177,[1.1017 -1.4113 ],1.7904,0.0099,0.0001
82,-8.5788,[-1.2544 1.6547 ],[-0.0108 0.0138 ],0.0176,[1.0922 -1.3990 ],1.7748,0.0099,0.0001
83,-8.6099,[-1.2652 1.6685 ],[-0.0107 0.0137 ],0.0174,[1.0827 -1.3869 ],1.7594,0.0099,0.0001
84,-8.6404,[-1.2759 1.6822 ],[-0.0106 0.0136 ],0.0173,[1.0733 -1.3748 ],1.7442,0.0099,0.0001
85,-8.6704,[-1.2866 1.6958 ],[-0.0105 0.0135 ],0.0171,[1.0640 -1.3629 ],1.7290,0.0099,0.0001
86,-8.6998,[-1.2971 1.7093 ],[-0.0104 0.0134 ],0.0170,[1.0548 -1.3511 ],1.7140,0.0099,0.0001
87,-8.7288,[-1.3075 1.7227 ],[-0.0103 0.0133 ],0.0168,[1.0456 -1.3393 ],1.6992,0.0099,0.0001
88,-8.7572,[-1.3179 1.7359 ],[-0.0103 0.0131 ],0.0167,[1.0366 -1.3277 ],1.6844,0.0099,0.0001
89,-8.7852,[-1.3281 1.7491 ],[-0.0102 0.0130 ],0.0165,[1.0276 -1.3162 ],1.6698,0.0099,0.0001
90,-8.8126,[-1.3383 1.7621 ],[-0.0101 0.0129 ],0.0164,[1.0187 -1.3048 ],1.6553,0.0099,0.0001
91,-8.8396,[-1.3484 1.7750 ],[-0.0100 0.0128 ],0.0162,[1.0098 -1.2934 ],1.6409,0.0099,0.0001
92,-8.8662,[-1.3584 1.7878 ],[-0.0099 0.0127 ],0.0161,[1.0011 -1.2822 ],1.6267,0.0099,0.0001
93,-8.8922,[-1.3683 1.8005 ],[-0.0098 0.0126 ],0.0160,[0.9924 -1.2711 ],1.6126,0.0099,0.0001
94,-8.9179,[-1.3781 1.8131 ],[-0.0097 0.0125 ],0.0158,[0.9838 -1.2600 ],1.5986,0.0099,0.0001
95,-8.9430,[-1.3878 1.8255 ],[-0.0097 0.0124 ],0.0157,[0.9752 -1.2491 ],1.5847,0.0099,0.0001
96,-8.9678,[-1.3975 1.8379 ],[-0.0096 0.0123 ],0.0155,[0.9668 -1.2383 ],1.5710,0.0099,0.0001
97,-8.9921,[-1.4070 1.8502 ],[-0.0095 0.0121 ],0.0154,[0.9584 -1.2275 ],1.5573,0.0099,0.0001
98,-9.0160,[-1.4165 1.8623 ],[-0.0094 0.0120 ],0.0153,[0.9501 -1.2169 ],1.5438,0.0099,0.0001
99,-9.0395,[-1.4259 1.8744 ],[-0.0093 0.0119 ],0.0151,[0.9418 -1.2063 ],1.5304,0.0099,0.0001
100,-9.0626,[-1.4353 1.8863 ],[-0.0092 0.0118 ],0.0150,[0.9337 -1.1958 ],1.5172,0.0099,0.0001
101,-9.0852,[-1.4445 1.8981 ],[-0.0092 0.0117 ],0.0149,[0.9256 -1.1855 ],1.5040,0.0099,0.0001
