n,f(x),x,p,||p||,gradient,||gradient||,alpha,k,eps
1,13.0000,[0.0000 0.0000 ],[0.0774 -0.2322 ],0.2448,[-10.0000 30.0000 ],31.6228,0.0077,127,0.0001
2,6.8288,[0.0774 -0.2322 ],[0.2272 -0.0776 ],0.2401,[-29.3533 10.0274 ],31.0188,0.0077,127,0.0001
3,0.8481,[0.3046 -0.3099 ],[0.0778 -0.2224 ],0.2356,[-10.0483 28.7227 ],30.4296,0.0077,127,0.0001
4,-4.9479,[0.3824 -0.5322 ],[0.2176 -0.0779 ],0.2311,[-28.1078 10.0629 ],29.8548,0.0077,127,0.0001
5,-10.5650,[0.6000 -0.6101 ],[0.0780 -0.2129 ],0.2268,[-10.0715 27.5082 ],29.2940,0.0077,127,0.0001
6,-16.0088,[0.6780 -0.8231 ],[0.2084 -0.0780 ],0.2225,[-26.9234 10.0745 ],28.7466,0.0077,127,0.0001
7,-21.2846,[0.8864 -0.9011 ],[0.0780 -0.2040 ],0.2184,[-10.0720 26.3530 ],28.2122,0.0077,127,0.0001
8,-26.3977,[0.9644 -1.1051 ],[0.1997 -0.0779 ],0.2144,[-25.7966 10.0645 ],27.6904,0.0077,127,0.0001
9,-31.3531,[1.1641 -1.1830 ],[0.0778 -0.1955 ],0.2104,[-10.0520 25.2539 ],27.1809,0.0077,127,0.0001
10,-36.1556,[1.2419 -1.3785 ],[0.1914 -0.0777 ],0.2066,[-24.7244 10.0349 ],26.6832,0.0077,127,0.0001
11,-40.8100,[1.4333 -1.4562 ],[0.0775 -0.1874 ],0.2028,[-10.0134 24.2077 ],26.1970,0.0077,127,0.0001
12,-45.3209,[1.5108 -1.6436 ],[0.1835 -0.0773 ],0.1991,[-23.7036 9.9877 ],25.7218,0.0077,127,0.0001
13,-49.6927,[1.6943 -1.7209 ],[0.0771 -0.1797 ],0.1955,[-9.9581 23.2116 ],25.2575,0.0077,127,0.0001
14,-53.9298,[1.7714 -1.9006 ],[0.1760 -0.0768 ],0.1920,[-22.7314 9.9247 ],24.8036,0.0077,127,0.0001
15,-58.0363,[1.9474 -1.9774 ],[0.0765 -0.1723 ],0.1886,[-9.8877 22.2628 ],24.3598,0.0077,127,0.0001
16,-62.0162,[2.0239 -2.1497 ],[0.1688 -0.0762 ],0.1852,[-21.8053 9.8474 ],23.9258,0.0077,127,0.0001
17,-65.8735,[2.1927 -2.2260 ],[0.0759 -0.1653 ],0.1819,[-9.8039 21.3588 ],23.5013,0.0077,127,0.0001
18,-69.6120,[2.2686 -2.3913 ],[0.1620 -0.0755 ],0.1787,[-20.9228 9.7574 ],23.0861,0.0077,127,0.0001
19,-73.2352,[2.4306 -2.4668 ],[0.0752 -0.1587 ],0.1756,[-9.7081 20.4971 ],22.6799,0.0077,127,0.0001
20,-76.7469,[2.5057 -2.6255 ],[0.1555 -0.0748 ],0.1725,[-20.0814 9.6561 ],22.2824,0.0077,127,0.0001
21,-80.1504,[2.6612 -2.7003 ],[0.0743 -0.1523 ],0.1695,[-9.6016 19.6755 ],21.8933,0.0077,127,0.0001
22,-83.4490,[2.7355 -2.8526 ],[0.1492 -0.0739 ],0.1665,[-19.2791 9.5447 ],21.5124,0.0077,127,0.0001
23,-86.6461,[2.8848 -2.9265 ],[0.0734 -0.1462 ],0.1636,[-9.4856 18.8919 ],21.1396,0.0077,127,0.0001
24,-89.7447,[2.9582 -3.0727 ],[0.1433 -0.0730 ],0.1608,[-18.5137 9.4245 ],20.7744,0.0077,127,0.0001
25,-92.7479,[3.1015 -3.1457 ],[0.0725 -0.1405 ],0.1581,[-9.3614 18.1442 ],20.4169,0.0077,127,0.0001
26,-95.6587,[3.1740 -3.2861 ],[0.1377 -0.0720 ],0.1553,[-17.7832 9.2965 ],20.0666,0.0077,127,0.0001
27,-98.4798,[3.3117 -3.3581 ],[0.0715 -0.1349 ],0.1527,[-9.2299 17.4306 ],19.7235,0.0077,127,0.0001
28,-101.2141,[3.3831 -3.4930 ],[0.1323 -0.0709 ],0.1501,[-17.0860 9.1617 ],19.3873,0.0077,127,0.0001
29,-103.8642,[3.5154 -3.5640 ],[0.0704 -0.1297 ],0.1475,[-9.0921 16.7492 ],19.0579,0.0077,127,0.0001
30,-106.4327,[3.5858 -3.6936 ],[0.1271 -0.0698 ],0.1450,[-16.4201 9.0211 ],18.7350,0.0077,127,0.0001
31,-108.9222,[3.7129 -3.7635 ],[0.0693 -0.1246 ],0.1426,[-8.9489 16.0985 ],18.4186,0.0077,127,0.0001
32,-111.3351,[3.7821 -3.8881 ],[0.1222 -0.0687 ],0.1402,[-15.7841 8.8755 ],18.1083,0.0077,127,0.0001
33,-113.6737,[3.9043 -3.9568 ],[0.0681 -0.1198 ],0.1378,[-8.8010 15.4768 ],17.8041,0.0077,127,0.0001
34,-115.9403,[3.9725 -4.0766 ],[0.1175 -0.0675 ],0.1355,[-15.1763 8.7256 ],17.5059,0.0077,127,0.0001
35,-118.1372,[4.0899 -4.1441 ],[0.0670 -0.1152 ],0.1333,[-8.6493 14.8825 ],17.2134,0.0077,127,0.0001
36,-120.2665,[4.1569 -4.2594 ],[0.1130 -0.0664 ],0.1310,[-14.5953 8.5721 ],16.9265,0.0077,127,0.0001
37,-122.3303,[4.2699 -4.3257 ],[0.0658 -0.1108 ],0.1289,[-8.4943 14.3145 ],16.6450,0.0077,127,0.0001
38,-124.3306,[4.3356 -4.4365 ],[0.1087 -0.0651 ],0.1267,[-14.0398 8.4158 ],16.3689,0.0077,127,0.0001
39,-126.2694,[4.4443 -4.5017 ],[0.0645 -0.1066 ],0.1246,[-8.3368 13.7712 ],16.0981,0.0077,127,0.0001
40,-128.1485,[4.5089 -4.6083 ],[0.1046 -0.0639 ],0.1226,[-13.5084 8.2572 ],15.8322,0.0077,127,0.0001
41,-129.9698,[4.6134 -4.6722 ],[0.0633 -0.1026 ],0.1205,[-8.1772 13.2514 ],15.5714,0.0077,127,0.0001
42,-131.7351,[4.6767 -4.7748 ],[0.1006 -0.0627 ],0.1186,[-13.0000 8.0969 ],15.3154,0.0077,127,0.0001
43,-133.4460,[4.7774 -4.8375 ],[0.0621 -0.0987 ],0.1166,[-8.0162 12.7541 ],15.0641,0.0077,127,0.0001
44,-135.1044,[4.8394 -4.9362 ],[0.0969 -0.0614 ],0.1147,[-12.5134 7.9353 ],14.8174,0.0077,127,0.0001
45,-136.7117,[4.9363 -4.9976 ],[0.0608 -0.0950 ],0.1128,[-7.8541 12.2780 ],14.5752,0.0077,127,0.0001
46,-138.2697,[4.9971 -5.0927 ],[0.0933 -0.0602 ],0.1110,[-12.0476 7.7728 ],14.3374,0.0077,127,0.0001
47,-139.7797,[5.0904 -5.1529 ],[0.0595 -0.0915 ],0.1092,[-7.6914 11.8221 ],14.1039,0.0077,127,0.0001
48,-141.2432,[5.1499 -5.2444 ],[0.0898 -0.0589 ],0.1074,[-11.6014 7.6100 ],13.8746,0.0077,127,0.0001
49,-142.6618,[5.2397 -5.3033 ],[0.0583 -0.0881 ],0.1057,[-7.5285 11.3854 ],13.6494,0.0077,127,0.0001
50,-144.0367,[5.2980 -5.3914 ],[0.0865 -0.0577 ],0.1040,[-11.1740 7.4471 ],13.4283,0.0077,127,0.0001
51,-145.3694,[5.3845 -5.4491 ],[0.0570 -0.0849 ],0.1023,[-7.3658 10.9670 ],13.2110,0.0077,127,0.0001
52,-146.6610,[5.4415 -5.5340 ],[0.0833 -0.0564 ],0.1006,[-10.7644 7.2846 ],12.9976,0.0077,127,0.0001
53,-147.9130,[5.5249 -5.5904 ],[0.0558 -0.0818 ],0.0990,[-7.2035 10.5660 ],12.7880,0.0077,127,0.0001
54,-149.1265,[5.5806 -5.6722 ],[0.0803 -0.0551 ],0.0974,[-10.3718 7.1226 ],12.5820,0.0077,127,0.0001
55,-150.3026,[5.6609 -5.7273 ],[0.0545 -0.0788 ],0.0958,[-7.0419 10.1816 ],12.3796,0.0077,127,0.0001
56,-151.4426,[5.7154 -5.8061 ],[0.0774 -0.0539 ],0.0943,[-9.9954 6.9615 ],12.1807,0.0077,127,0.0001
57,-152.5475,[5.7928 -5.8600 ],[0.0533 -0.0760 ],0.0928,[-6.8814 9.8130 ],11.9853,0.0077,127,0.0001
58,-153.6185,[5.8461 -5.9360 ],[0.0746 -0.0527 ],0.0913,[-9.6343 6.8016 ],11.7933,0.0077,127,0.0001
59,-154.6565,[5.9207 -5.9886 ],[0.0520 -0.0732 ],0.0898,[-6.7221 9.4594 ],11.6045,0.0077,127,0.0001
60,-155.6627,[5.9727 -6.0619 ],[0.0719 -0.0514 ],0.0884,[-9.2880 6.6429 ],11.4190,0.0077,127,0.0001
61,-156.6379,[6.0446 -6.1133 ],[0.0508 -0.0706 ],0.0870,[-6.5642 9.1200 ],11.2367,0.0077,127,0.0001
62,-157.5831,[6.0954 -6.1839 ],[0.0693 -0.0502 ],0.0856,[-8.9556 6.4858 ],11.0575,0.0077,127,0.0001
63,-158.4992,[6.1647 -6.2341 ],[0.0496 -0.0681 ],0.0842,[-6.4079 8.7944 ],10.8813,0.0077,127,0.0001
